affichage,champs,colonnes
SYNTHETIQUE,Position,position
SYNTHETIQUE,Classe précision,prec_clas
SYNTHETIQUE,Classe précision XY,prec_xy
SYNTHETIQUE,Classe précision Z,prec_z
SYNTHETIQUE,Précision année,prec_ann
SYNTHETIQUE,Précision XY,prec_xy_cm
SYNTHETIQUE,Précision Z,prec_z_cm
SYNTHETIQUE,Pression,pression
SYNTHETIQUE,Code étage pression,cde_etage
SYNTHETIQUE,Etage de pression,etage
SYNTHETIQUE,Protection,protection
SYNTHETIQUE,Fournisseur,fourniss
SYNTHETIQUE,Nb Branche Eqpt Public,nb_pub
SYNTHETIQUE,Nbre Purge,nb_purge
SYNTHETIQUE,Longueur Eau Brute KM,km_brute
SYNTHETIQUE,Régulation,regul
SYNTHETIQUE,Nbre Eqpt Régulation,nb_regul
SYNTHETIQUE,Date réhabilitation,date_rehab
SYNTHETIQUE,Diamètre réhab.,diam_rehab
SYNTHETIQUE,Matériau réhabilitation,mat_rehab
SYNTHETIQUE,Type réhabilitation,type_rehab
SYNTHETIQUE,Télégéré,telegest
SYNTHETIQUE,Note GP,note
SYNTHETIQUE,Nbre Réservoir,nb_reserv
SYNTHETIQUE,Temps de  séjour,tps_sejour
SYNTHETIQUE,Classe résistance,cr
SYNTHETIQUE,Responsable,responsbl
SYNTHETIQUE,Inversion angle,inv_angle
SYNTHETIQUE,Nature du risque,nat_risq
SYNTHETIQUE,Code SANDRE,sandre
SYNTHETIQUE,Echelle,echelle
SYNTHETIQUE,Type joints,joint
SYNTHETIQUE,Ouvrage sensible,sensible
SYNTHETIQUE,Date mise en service,date_serv
SYNTHETIQUE,Point de mise en service,pt_serv
SYNTHETIQUE,Année max,annee_min
SYNTHETIQUE,Année min,annee_max
SYNTHETIQUE,Longueur EU KM,km_eu
SYNTHETIQUE,Nbre Station,nb_step
SYNTHETIQUE,Sous-fourreau,ss_fourr
SYNTHETIQUE,Nom court,abr_court
SYNTHETIQUE,Nom court,lib_court
SYNTHETIQUE,Pente,pente
SYNTHETIQUE,Source info,srce
SYNTHETIQUE,Données Source,data_brute
SYNTHETIQUE,Date début,date_debut
SYNTHETIQUE,Noeud amont,nd_amont
SYNTHETIQUE,Statut,statut
SYNTHETIQUE,Longueur EP KM,km_ep
SYNTHETIQUE,Rue,config_rue
SYNTHETIQUE,Rue,rue
SYNTHETIQUE,Numéro Rue,num_rue
SYNTHETIQUE,Structurant,structur
SYNTHETIQUE,Sous-type,ss_type
SYNTHETIQUE,Entreprise relève,relev_soc
SYNTHETIQUE,Nbre Cuves,",nb_cuves"
SYNTHETIQUE,Numéro Planche,ind_tuile
SYNTHETIQUE,Longueur Totale Drain KM,km_drain
SYNTHETIQUE,Longueur Totale KM,km_total
SYNTHETIQUE,Longueur Totale Collecteur KM,km_coll
SYNTHETIQUE,Longueur Totale Cours d'eau KM,km_surfeau
SYNTHETIQUE,Capacité de traitement,cap_trait
SYNTHETIQUE,Méthode de traitement,type_trait
SYNTHETIQUE,Type,type
SYNTHETIQUE,Longueur UNI KM,km_uni
SYNTHETIQUE,Cote amont,cote_amont
SYNTHETIQUE,Pression amont,p_amont
SYNTHETIQUE,Lien URL,lien_url
SYNTHETIQUE,UUID,uuid
SYNTHETIQUE,Récolement,recolement
SYNTHETIQUE,AEP - Point desserte,aep_point_desserte
SYNTHETIQUE,AEP - Equipement,aep_equipement
